,x_in,y_in,z_in
0,142.3684943825942,0.0,25.423030718431665
1,140.5537261120566,17.190623279060567,25.412992931209562
2,137.8978372887687,33.78655881912729,25.239743523105144
3,135.565845908227,50.382494360331236,25.12720222820887
4,133.29611027113438,66.97842990169059,25.024856451844347
5,131.02334192316638,83.57436544304998,24.922380456212856
6,128.74637837367743,100.17030098440934,24.819752402233053
7,126.46339190058154,116.76623652576869,24.716948996558607
8,124.22056272330828,133.36217206712806,24.620055672165886
9,122.2023911853971,149.95810760848747,24.553088382525193
10,120.08589050826463,167.1487302937328,24.482840020530933
