,x_in,y_in,z_in
0,141.4611102473254,8.595311639530284,25.418011824820613
1,139.22578170041265,25.48859104909393,25.326368227157353
2,136.73184159849785,42.084526589729265,25.183472875657007
3,134.4309780896807,58.68046213101091,25.076029340026608
4,132.15972609715038,75.27639767237028,24.973618454028603
5,129.88486014842192,91.87233321372966,24.871066429222957
6,127.60488513712949,108.46826875508901,24.768350699395832
7,125.3419773119449,125.06420429644837,24.668502334362245
8,123.21147695435269,141.66013983780778,24.58657202734554
9,121.14414084683087,158.55341895111013,24.517964201528063
